,Actors,ActorImageUrl,Personality-Traits
71,Mukesh Tiwari,"https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_UY317_CR135,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
72,Mammootty,"https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
73,Makrand Deshpande,"https://m.media-amazon.com/images/M/MV5BNDcyOGU3ODctZjZiZi00OWY1LWEzYjktOTIxNTUwMTAyODMzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","['Emotional and loving', 'Intuitive and imaginative', 'Shrewd and cautious', 'Protective and sympathetic', 'Changeable and moody', 'Overemotional and touchy', 'Clinging and unable to let go']"
74,Madhavan,"https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
75,Mohanlal,"https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
76,Mita Vasisht,"https://m.media-amazon.com/images/M/MV5BNGQ4YjkyMzMtM2E4OS00YmMzLWEyY2YtYjY0ZmUzYmEzNzFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR19,0,214,317_AL__QL50.jpg","['Determined and forceful ', 'Emotional and intuitive ', 'Powerful and passionate ', 'Exciting and magnetic ', 'Jealous and resentful ', 'Compulsive and obsessive ', 'Secretive and obstinate']"
77,Manoj Bajpayee,"https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","['Patient and reliable', 'Warmhearted and loving', 'Persistent and determined', 'Placid and security loving', 'Jealous and possessive', 'Resentful and inflexible', 'Self-indulgent and greedy ']"
78,Manoj Joshi,"https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",[None]
79,Madhuri Dixit,"https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","['Patient and reliable', 'Warmhearted and loving', 'Persistent and determined', 'Placid and security loving', 'Jealous and possessive', 'Resentful and inflexible', 'Self-indulgent and greedy ']"
80,Mohnish Bahl,"https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg","['Friendly and humanitarian ', 'Honest and loyal ', 'Original and inventive ', 'Independent and intellectual ', 'Intractable and contrary ', 'Perverse and unpredictable ', 'Unemotional and detached']"
81,Mithun Chakraborty,"https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
82,Mukesh Khanna,"https://m.media-amazon.com/images/M/MV5BMTYwNTk2MTk4MF5BMl5BanBnXkFtZTgwODQ1ODA0OTE@._V1_UY317_CR136,0,214,317_AL__QL50.jpg","['Emotional and loving', 'Intuitive and imaginative', 'Shrewd and cautious', 'Protective and sympathetic', 'Changeable and moody', 'Overemotional and touchy', 'Clinging and unable to let go']"
83,Mukul Dev,"https://m.media-amazon.com/images/M/MV5BODhjYmUzZTctNWY3Yy00ZDBmLTk0NzEtMzg3YzlhYzA0NGI2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
84,Madhubala,"https://m.media-amazon.com/images/M/MV5BMTI4MTAzMzc2MV5BMl5BanBnXkFtZTcwMDkyNDAzMQ@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","['Friendly and humanitarian ', 'Honest and loyal ', 'Original and inventive ', 'Independent and intellectual ', 'Intractable and contrary ', 'Perverse and unpredictable ', 'Unemotional and detached']"
85,Meena Kumari,"https://m.media-amazon.com/images/M/MV5BMTM2NjQ1Nzg2N15BMl5BanBnXkFtZTcwNDkyNjAzMQ@@._V1_UY317_CR1,0,214,317_AL__QL50.jpg","['Generous and warmhearted', 'Creative and enthusiastic', 'Broad-minded and expansive', 'Faithful and loving', 'Pompous and patronizing', 'Bossy and interfering', 'Dogmatic and intolerant ']"
86,Mala Sinha,"https://m.media-amazon.com/images/M/MV5BMWUyNzlkMDEtMGY4My00M2QwLWEzYjktMzk1YjliNDhiYzc5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR8,0,214,317_AL__QL50.jpg","['Determined and forceful ', 'Emotional and intuitive ', 'Powerful and passionate ', 'Exciting and magnetic ', 'Jealous and resentful ', 'Compulsive and obsessive ', 'Secretive and obstinate']"
87,Manoj Pahwa,"https://m.media-amazon.com/images/M/MV5BMDM4MTY3YzAtYmJlMC00YjdjLTg4YzgtZTJiMzI5NzJjODg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg",[None]
88,Manoj Kumar,"https://m.media-amazon.com/images/M/MV5BMzUxNTM4MzQ4N15BMl5BanBnXkFtZTgwMjY1ODA0OTE@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","['Generous and warmhearted', 'Creative and enthusiastic', 'Broad-minded and expansive', 'Faithful and loving', 'Pompous and patronizing', 'Bossy and interfering', 'Dogmatic and intolerant ']"
89,Nassar,"https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
90,Naseeruddin Shah,"https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg","['Emotional and loving', 'Intuitive and imaginative', 'Shrewd and cautious', 'Protective and sympathetic', 'Changeable and moody', 'Overemotional and touchy', 'Clinging and unable to let go']"
91,Nandita Das,"https://m.media-amazon.com/images/M/MV5BMTA2NzUwMTAxMDBeQTJeQWpwZ15BbWU4MDQ0MTEyNTEx._V1_UY317_CR0,0,214,317_AL__QL50.jpg","['Determined and forceful ', 'Emotional and intuitive ', 'Powerful and passionate ', 'Exciting and magnetic ', 'Jealous and resentful ', 'Compulsive and obsessive ', 'Secretive and obstinate']"
92,Nagarjuna Akkineni,"https://m.media-amazon.com/images/M/MV5BMDE5ZTgzN2QtODQzMi00NzYxLWI3ZmMtMzAxNWM0OGM1YjM0XkEyXkFqcGdeQXVyNzc4NzEwNTc@._V1_UY317_CR123,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
93,Nana Patekar,"https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
94,Nawazuddin Siddiqui,"https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Patient and reliable', 'Warmhearted and loving', 'Persistent and determined', 'Placid and security loving', 'Jealous and possessive', 'Resentful and inflexible', 'Self-indulgent and greedy ']"
95,Nargis,"https://m.media-amazon.com/images/M/MV5BMTY1NzE0ODkzNl5BMl5BanBnXkFtZTcwMDQ2OTAzMQ@@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
96,Nirupa Roy,"https://m.media-amazon.com/images/M/MV5BNGYxMTdjY2MtMDkzYS00ZGJlLTljZTgtYjlhZGVhYTNhMTE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
97,Nutan,"https://m.media-amazon.com/images/M/MV5BMTM0MDI4NDIzOV5BMl5BanBnXkFtZTcwNDY1NTAzMQ@@._V1_UY317_CR10,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
98,Neeraj Kabi,"https://m.media-amazon.com/images/M/MV5BZTJlZWZiMmUtNTQ0MS00NzliLWI3YjAtNzhiNjVhNWQ2MDExXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",[None]
99,Navin Nischol,"https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
